,rank,fingerprint
PubchemFP436,399,C(-C)(-H)(=O) 
PubchemFP659,400,O-C-C-N-C 
PubchemFP256,401,>= 1 hetero-aromatic ring 
PubchemFP553,402,O=C-C=C 
PubchemFP798,403,CC1CC(O)CCC1 
PubchemFP645,404,O=C-N-C-C 
PubchemFP286,405,C-O 
PubchemFP828,406,OC1C(Br)CCCC1 
PubchemFP330,407,C(~Br)(:C) 
PubchemFP297,408,C-Br 
PubchemFP488,409,N-C=N-[#1]
PubchemFP200,410,>= 4 saturated or aromatic carbon-only ring size 6 
PubchemFP567,411,O-C-C-O 
PubchemFP663,412,O-C-C-O-[#1] 
PubchemFP625,413,O=C-C:C-O 
PubchemFP464,414,N-C-C=C 
PubchemFP717,415,Cc1ccc(Cl)cc1 
PubchemFP37,416,>= 1 Cl 
PubchemFP752,417,Clc1cc(Cl)ccc1 
PubchemFP148,418,>= 1 unsaturated non-aromatic nitrogen-containing ring size 5 
PubchemFP666,419,C=C-C-O-C 
PubchemFP194,420,>= 3 saturated or aromatic nitrogen-containing ring size 6 
PubchemFP492,421,N-C:O:C 
PubchemFP690,422,O-C-C-C-C-C-O 
PubchemFP765,423,Oc1c(Br)cccc1 
PubchemFP353,424,C(~C)(~S) 
PubchemFP601,425,N-C:C:C-N 
PubchemFP327,426,C(~Br)(~C) 
PubchemFP637,427,O-C-C-C-C 
PubchemFP689,428,O-C-C-C-C-C-C 
PubchemFP138,429,>= 2 saturated or aromatic nitrogen-containing ring size 4 
PubchemFP635,430,N-N-C-N-[#1] 
PubchemFP440,431,C(-C)(-O)(=O) 
PubchemFP569,432,N-C-C-N 
PubchemFP701,433,O-C-C-C-C-C(O)-C 
PubchemFP139,434,>= 2 saturated or aromatic heteroatom-containing ring size 4 
PubchemFP393,435,N(~C)(~H) 
PubchemFP572,436,N:C:N:C 
PubchemFP504,437,N:C:N-C 
PubchemFP815,438,ClC1CC(Cl)CCC1 
PubchemFP618,439,C:C-C-C:C 
PubchemFP33,440,>= 1 S 
PubchemFP398,441,N(~H)(~N) 
PubchemFP509,442,Br-C:C-C 
PubchemFP131,443,>= 1 saturated or aromatic nitrogen-containing ring size 4 
PubchemFP533,444,S-C:C-N 
PubchemFP294,445,C-Cl 
PubchemFP136,446,>= 2 any ring size 4 
PubchemFP467,447,C=N-N-C 
PubchemFP401,448,N(~O)(~O) 
PubchemFP455,449,N(-O)(=O) 
PubchemFP483,450,N-S-C:C 
PubchemFP623,451,O=C-C:C-C 
PubchemFP555,452,N=C-C=C 
PubchemFP150,453,>= 2 any ring size 5 
PubchemFP508,454,S=C-N-C 
PubchemFP735,455,Cc1cc(O)ccc1 
PubchemFP737,456,Cc1cc(N)ccc1 
PubchemFP21,457,>= 8 O 
PubchemFP341,458,C(~C)(~C)(~O) 
PubchemFP366,459,C(~H)(~O) 
PubchemFP694,460,O=C-C-C-C-C=O 
PubchemFP797,461,CC1CC(C)CCC1 
PubchemFP644,462,C-C=N-N-C 
PubchemFP675,463,Br-C-C-C:C 
PubchemFP457,464,S(-C)(=O) 
PubchemFP669,465,Cl-C:C-C=O 
PubchemFP662,466,O-C-C-O-C 
PubchemFP854,467,NC1CC(N)CC1 
PubchemFP827,468,OC1C(Cl)CCCC1 
PubchemFP445,469,C(-H)(-N)(=C) 
PubchemFP365,470,C(~H)(~N) 
PubchemFP833,471,NC1C(N)CCCC1 
PubchemFP485,472,N:C:C:N 
PubchemFP184,473,>= 1 unsaturated non-aromatic heteroatom-containing ring size 6 
PubchemFP836,474,ClC1C(Cl)CCCC1 
PubchemFP473,475,S-C:N:C 
PubchemFP705,476,O=C-C-C-C-C(O)-C 
PubchemFP529,477,Cl-C-C-Cl 
PubchemFP764,478,Oc1c(Cl)cccc1 
PubchemFP730,479,Nc1ccc(Br)cc1
PubchemFP178,480,>= 1 any ring size 6 
PubchemFP526,481,Cl-C:C-Cl 
PubchemFP835,482,NC1C(Br)CCCC1 
PubchemFP773,483,Clc1c(Cl)cccc1 
PubchemFP733,484,Brc1ccc(Br)cc1 
PubchemFP497,485,O-C:C:N 
PubchemFP486,486,N-C:N:N 
PubchemFP775,487,Brc1c(Br)cccc1 
PubchemFP772,488,Nc1c(Br)cccc1 
PubchemFP805,489,OC1CC(N)CCC1 
PubchemFP793,490,NC1CCC(Br)CC1 
PubchemFP613,491,C-N-C-C-C 
PubchemFP344,492,C(~C)(~H) 
PubchemFP283,493,C-H 
PubchemFP45,494,>= 4 Br 
PubchemFP182,495,>= 1 unsaturated non-aromatic carbon-only ring size 6 
PubchemFP565,496,C:C-O-C 
PubchemFP11,497,>= 8 C 
PubchemFP382,498,C(~O)(:C)(:C) 
PubchemFP1,499,>= 8 H 
PubchemFP796,500,BrC1CCC(Br)CC1 
PubchemFP838,501,BrC1C(Br)CCCC1 
PubchemFP443,502,C(-C)(=O) 
PubchemFP0,503,>= 4 H 
PubchemFP734,504,Cc1cc(C)ccc1 
PubchemFP697,505,C-C-C-C-C-C(C)-C 
PubchemFP412,506,S(~C)(~C) 
PubchemFP472,507,C:N:C-C 
PubchemFP804,508,OC1CC(S)CCC1 
PubchemFP626,509,C-O-C:C-C 
PubchemFP742,510,Oc1cc(N)ccc1 
PubchemFP548,511,O-C-C:C 
