,rank,fingerprint
PubchemFP53,612,>= 1 Sc 
PubchemFP292,613,C-P 
PubchemFP319,614,Al-Cl 
PubchemFP59,615,>= 1 Co 
PubchemFP318,616,Al-H 
PubchemFP289,617,C-Mg 
PubchemFP35,618,>= 4 S 
PubchemFP277,619,B-F 
PubchemFP846,620,OC1CC(S)CC1 
PubchemFP288,621,C-Na 
PubchemFP39,622,>= 4 Cl 
PubchemFP48,623,>= 4 I 
PubchemFP62,624,>= 1 Zn 
PubchemFP208,625,>= 5 saturated or aromatic nitrogen-containing ring size 6 
PubchemFP64,626,>= 1 Ge 
PubchemFP70,627,>= 1 Y 
PubchemFP66,628,>= 1 Se 
PubchemFP36,629,>= 8 S 
PubchemFP51,630,>= 1 Al 
PubchemFP65,631,>= 1 As 
PubchemFP281,632,B-Cl 
PubchemFP282,633,B-Br 
PubchemFP78,634,>= 1 Cd 
PubchemFP83,635,>= 1 Xe 
PubchemFP69,636,>= 1 Sr 
PubchemFP67,637,>= 1 Kr 
PubchemFP68,638,>= 1 Rb 
PubchemFP84,639,>= 1 Cs 
PubchemFP295,640,C-As 
PubchemFP296,641,C-Se 
PubchemFP278,642,B-Si 
PubchemFP279,643,B-P 
PubchemFP71,644,>= 1 Zr 
PubchemFP74,645,>= 1 Ru 
PubchemFP73,646,>= 1 Mo 
PubchemFP91,647,>= 1 Os 
PubchemFP92,648,>= 1 Ir 
PubchemFP276,649,B-O 
PubchemFP63,650,>= 1 Ga 
PubchemFP275,651,B-N 
PubchemFP76,652,>= 1 Pd 
PubchemFP274,653,B-C 
PubchemFP77,654,>= 1 Ag 
PubchemFP273,655,B-B 
PubchemFP271,656,Li-Cl 
PubchemFP272,657,B-H 
PubchemFP82,658,>= 1 Te 
PubchemFP79,659,>= 1 In 
PubchemFP80,660,>= 1 Sn 
PubchemFP270,661,Li-S 
PubchemFP81,662,>= 1 Sb 
PubchemFP269,663,Li-P 
PubchemFP137,664,>= 2 saturated or aromatic carbon-only ring size 4 
PubchemFP97,665,>= 1 Pb 
PubchemFP313,666,O-Si 
PubchemFP268,667,Li-F 
PubchemFP75,668,>= 1 Rh 
PubchemFP411,669,P(~O)(~O) 
PubchemFP266,670,Li-C 
PubchemFP267,671,Li-O 
PubchemFP85,672,>= 1 Ba 
PubchemFP86,673,>= 1 Lu 
PubchemFP264,674,Li-Li 
PubchemFP265,675,Li-B 
PubchemFP212,676,>= 5 unsaturated non-aromatic heteroatom-containing ring size 6 
PubchemFP211,677,>= 5 unsaturated non-aromatic nitrogen-containing ring size 6 
PubchemFP204,678,>= 4 unsaturated non-aromatic nitrogen-containing ring size 6 
PubchemFP203,679,>= 4 unsaturated non-aromatic carbon-only ring size 6 
PubchemFP808,680,SC1CC(S)CCC1 
PubchemFP263,681,Li-H 
PubchemFP87,682,>= 1 Hf 
PubchemFP89,683,>= 1 W 
PubchemFP94,684,>= 1 Au 
PubchemFP141,685,>= 2 unsaturated non-aromatic nitrogen-containing ring size 4 
PubchemFP210,686,>= 5 unsaturated non-aromatic carbon-only ring size 6 
PubchemFP209,687,>= 5 saturated or aromatic heteroatom-containing ring size 6 
PubchemFP72,688,>= 1 Nb 
PubchemFP727,689,Sc1ccc(Br)cc1 
PubchemFP290,690,C-Al 
PubchemFP90,691,>= 1 Re 
PubchemFP100,692,>= 1 Ce 
PubchemFP291,693,C-Si 
PubchemFP95,694,>= 1 Hg 
PubchemFP93,695,>= 1 Pt 
PubchemFP415,696,Si(~C)(~C) 
PubchemFP105,697,>= 1 Eu 
PubchemFP103,698,>= 1 Pm 
PubchemFP96,699,>= 1 Tl 
PubchemFP106,700,>= 1 Gd 
PubchemFP102,701,>= 1 Nd 
PubchemFP303,702,N-Si 
PubchemFP104,703,>= 1 Sm 
PubchemFP307,704,N-Br 
PubchemFP101,705,>= 1 Pr 
PubchemFP306,706,N-Cl 
PubchemFP843,707,CC1CC(Cl)CC1 
PubchemFP832,708,SC1C(Br)CCCC1 
PubchemFP302,709,N-F 
PubchemFP309,710,O-O 
PubchemFP304,711,N-P 
PubchemFP88,712,>= 1 Ta 
PubchemFP732,713,Clc1ccc(Br)cc1 
PubchemFP312,714,O-Al 
PubchemFP108,715,>= 1 Dy 
PubchemFP109,716,>= 1 Ho 
PubchemFP112,717,>= 1 Yb 
PubchemFP111,718,>= 1 Tm 
PubchemFP787,719,SC1CCC(S)CC1 
PubchemFP329,720,C(~Br)(~H) 
PubchemFP114,721,>= 1 U
PubchemFP425,722,P=O 
PubchemFP311,723,O-Na 
PubchemFP99,724,>= 1 La 
PubchemFP98,725,>= 1 Bi 
PubchemFP162,726,>= 3 unsaturated non-aromatic nitrogen-containing ring size 5 
PubchemFP161,727,>= 3 unsaturated non-aromatic carbon-only ring size 5 
PubchemFP113,728,>= 1 Tc 
PubchemFP154,729,>= 2 unsaturated non-aromatic carbon-only ring size 5 
PubchemFP844,730,CC1CC(Br)CC1 
PubchemFP165,731,>= 4 saturated or aromatic carbon-only ring size 5 
PubchemFP410,732,P(~C)(~C) 
PubchemFP198,733,>= 3 unsaturated non-aromatic heteroatom-containing ring size 6 
PubchemFP118,734,>= 1 saturated or aromatic heteroatom-containing ring size 3 
PubchemFP323,735,P-H 
PubchemFP121,736,>= 1 unsaturated non-aromatic heteroatom-containing ring size 3 
PubchemFP169,737,>= 4 unsaturated non-aromatic nitrogen-containing ring size 5 
PubchemFP310,738,O-Mg 
PubchemFP627,739,O=[As]-C:C:C 
PubchemFP840,740,CC1CC(O)CC1 
PubchemFP117,741,>= 1 saturated or aromatic nitrogen-containing ring size 3 
PubchemFP841,742,CC1CC(S)CC1 
PubchemFP426,743,P=P 
PubchemFP124,744,>= 2 saturated or aromatic nitrogen-containing ring size 3 
PubchemFP134,745,>= 1 unsaturated non-aromatic nitrogen-containing ring size 4 
PubchemFP107,746,>= 1 Tb 
PubchemFP158,747,>= 3 saturated or aromatic carbon-only ring size 5 
PubchemFP424,748,N=P 
PubchemFP862,749,CC1C(S)CCC1 
PubchemFP126,750,>= 2 unsaturated non-aromatic carbon-only ring size 3 
PubchemFP369,751,C(~H)(~Si) 
PubchemFP127,752,>= 2 unsaturated non-aromatic nitrogen-containing ring size 3 
PubchemFP456,753,P(-O)(=O) 
PubchemFP128,754,>= 2 unsaturated non-aromatic heteroatom-containing ring size 3 
PubchemFP170,755,>= 4 unsaturated non-aromatic heteroatom-containing ring size 5 
PubchemFP458,756,S(-O)(=O) 
PubchemFP171,757,>= 5 any ring size 5 
PubchemFP119,758,>= 1 unsaturated non-aromatic carbon-only ring size 3 
PubchemFP110,759,>= 1 Er 
PubchemFP354,760,C(~C)(~Si) 
PubchemFP790,761,SC1CCC(Br)CC1 
PubchemFP321,762,Si-Si 
PubchemFP196,763,>= 3 unsaturated non-aromatic carbon-only ring size 6 
PubchemFP125,764,>= 2 saturated or aromatic heteroatom-containing ring size 3 
PubchemFP151,765,>= 2 saturated or aromatic carbon-only ring size 5 
PubchemFP217,766,>= 1 unsaturated non-aromatic carbon-only ring size 7 
PubchemFP649,767,O=N-C:C-O 
PubchemFP218,768,>= 1 unsaturated non-aromatic nitrogen-containing ring size 7 
PubchemFP795,769,ClC1CCC(Br)CC1 
PubchemFP463,770,N:C-S-[#1] 
PubchemFP525,771,[As]-C:C-[#1] 
PubchemFP197,772,>= 3 unsaturated non-aromatic nitrogen-containing ring size 6 
PubchemFP810,773,SC1CC(Cl)CCC1 
PubchemFP135,774,>= 1 unsaturated non-aromatic heteroatom-containing ring size 4 
PubchemFP120,775,>= 1 unsaturated non-aromatic nitrogen-containing ring size 3 
PubchemFP831,776,SC1C(Cl)CCCC1 
PubchemFP825,777,OC1C(S)CCCC1 
PubchemFP140,778,>= 2 unsaturated non-aromatic carbon-only ring size 4 
PubchemFP219,779,>= 1 unsaturated non-aromatic heteroatom-containing ring size 7 
PubchemFP222,780,>= 2 saturated or aromatic nitrogen-containing ring size 7 
PubchemFP468,781,O=S-C-N 
PubchemFP223,782,>= 2 saturated or aromatic heteroatom-containing ring size 7 
PubchemFP469,783,S-S-C:C 
PubchemFP224,784,>= 2 unsaturated non-aromatic carbon-only ring size 7 
PubchemFP726,785,Sc1ccc(Cl)cc1 
PubchemFP235,786,>= 2 saturated or aromatic carbon-only ring size 8 
PubchemFP512,787,C-[As]-O-[#1] 
PubchemFP238,788,>= 2 unsaturated non-aromatic carbon-only ring size 8 
PubchemFP322,789,Si-Cl 
PubchemFP724,790,Sc1ccc(S)cc1 
PubchemFP324,791,P-P 
PubchemFP133,792,>= 1 unsaturated non-aromatic carbon-only ring size 4
PubchemFP325,793,As-H 
PubchemFP326,794,As-As
PubchemFP774,795,Clc1c(Br)cccc1 
PubchemFP163,796,>= 3 unsaturated non-aromatic heteroatom-containing ring size 5 
PubchemFP164,797,>= 4 any ring size 5 
PubchemFP225,798,>= 2 unsaturated non-aromatic nitrogen-containing ring size 7 
PubchemFP510,799,[#1]-N-N-[#1] 
PubchemFP226,800,>= 2 unsaturated non-aromatic heteroatom-containing ring size 7 
PubchemFP837,801,ClC1C(Br)CCCC1 
PubchemFP723,802,Oc1ccc(Br)cc1 
PubchemFP829,803,SC1C(S)CCCC1 
PubchemFP786,804,OC1CCC(Br)CC1 
PubchemFP142,805,>= 2 unsaturated non-aromatic heteroatom-containing ring size 4 
PubchemFP155,806,>= 2 unsaturated non-aromatic nitrogen-containing ring size 5 
PubchemFP156,807,>= 2 unsaturated non-aromatic heteroatom-containing ring size 5 
PubchemFP227,808,>= 1 any ring size 8 
PubchemFP479,809,S-C-S-C 
PubchemFP233,810,>= 1 unsaturated non-aromatic heteroatom-containing ring size 8 
PubchemFP234,811,>= 2 any ring size 8 
PubchemFP251,812,>= 1 saturated or aromatic heteroatom-containing ring size 10 
PubchemFP254,813,>= 1 unsaturated non-aromatic heteroatom-containing ring size 10 
PubchemFP252,814,>= 1 unsaturated non-aromatic carbon-only ring size 10 
PubchemFP253,815,>= 1 unsaturated non-aromatic nitrogen-containing ring size 10 
PubchemFP408,816,O(~H)(~S) 
PubchemFP407,817,O(~C)(~P) 
PubchemFP762,818,Oc1c(S)cccc1 
PubchemFP402,819,N(~O)(:O) 
PubchemFP166,820,>= 4 saturated or aromatic nitrogen-containing ring size 5 
PubchemFP745,821,Sc1cc(S)ccc1 
PubchemFP167,822,>= 4 saturated or aromatic heteroatom-containing ring size 5 
PubchemFP747,823,Sc1cc(Cl)ccc1 
PubchemFP168,824,>= 4 unsaturated non-aromatic carbon-only ring size 5 
PubchemFP748,825,Sc1cc(Br)ccc1 
PubchemFP753,826,Clc1cc(Br)ccc1 
PubchemFP811,827,SC1CC(Br)CCC1 
PubchemFP189,828,>= 2 unsaturated non-aromatic carbon-only ring size 6 
PubchemFP816,829,ClC1CC(Br)CCC1 
PubchemFP190,830,>= 2 unsaturated non-aromatic nitrogen-containing ring size 6 
PubchemFP191,831,>= 2 unsaturated non-aromatic heteroatom-containing ring size 6 
PubchemFP173,832,>= 5 saturated or aromatic nitrogen-containing ring size 5 
PubchemFP444,833,C(-Cl)(=O) 
PubchemFP174,834,>= 5 saturated or aromatic heteroatom-containing ring size 5 
PubchemFP177,835,>= 5 unsaturated non-aromatic heteroatom-containing ring size 5 
PubchemFP228,836,>= 1 saturated or aromatic carbon-only ring size 8 
PubchemFP769,837,Sc1c(Br)cccc1 
PubchemFP229,838,>= 1 saturated or aromatic nitrogen-containing ring size 8 
PubchemFP768,839,Sc1c(Cl)cccc1 
PubchemFP230,840,>= 1 saturated or aromatic heteroatom-containing ring size 8 
PubchemFP766,841,Sc1c(S)cccc1 
PubchemFP231,842,>= 1 unsaturated non-aromatic carbon-only ring size 8 
PubchemFP232,843,>= 1 unsaturated non-aromatic nitrogen-containing ring size 8 
PubchemFP175,844,>= 5 unsaturated non-aromatic carbon-only ring size 5 
PubchemFP176,845,>= 5 unsaturated non-aromatic nitrogen-containing ring size 5 
PubchemFP220,846,>= 2 any ring size 7 
PubchemFP221,847,>= 2 saturated or aromatic carbon-only ring size 7 
PubchemFP250,848,>= 1 saturated or aromatic nitrogen-containing ring size 10 
PubchemFP239,849,>= 2 unsaturated non-aromatic nitrogen-containing ring size 8 
PubchemFP240,850,>= 2 unsaturated non-aromatic heteroatom-containing ring size 8 
PubchemFP249,851,>= 1 saturated or aromatic carbon-only ring size 10 
PubchemFP247,852,>= 1 unsaturated non-aromatic heteroatom-containing ring size 9 
PubchemFP248,853,>= 1 any ring size 10 
PubchemFP237,854,>= 2 saturated or aromatic heteroatom-containing ring size 8 
PubchemFP236,855,>= 2 saturated or aromatic nitrogen-containing ring size 8 
PubchemFP242,856,>= 1 saturated or aromatic carbon-only ring size 9 
PubchemFP246,857,>= 1 unsaturated non-aromatic nitrogen-containing ring size 9 
PubchemFP241,858,>= 1 any ring size 9 
PubchemFP245,859,>= 1 unsaturated non-aromatic carbon-only ring size 9 
PubchemFP172,860,>= 5 saturated or aromatic carbon-only ring size 5 
PubchemFP360,861,C(~Cl)(~Cl)
PubchemFP243,862,>= 1 saturated or aromatic nitrogen-containing ring size 9 
PubchemFP244,863,>= 1 saturated or aromatic heteroatom-containing ring size 9 
PubchemFP864,864,CC1C(Cl)CCC1 
PubchemFP865,865,CC1C(Br)CCC1 
PubchemFP866,866,OC1C(O)CCC1 
PubchemFP867,867,OC1C(S)CCC1 
PubchemFP433,868,C(-C)(-Cl)(=O) 
PubchemFP868,869,OC1C(N)CCC1 
PubchemFP869,870,OC1C(Cl)CCC1 
PubchemFP870,871,OC1C(Br)CCC1 
PubchemFP871,872,SC1C(S)CCC1 
PubchemFP872,873,SC1C(N)CCC1 
PubchemFP873,874,SC1C(Cl)CCC1 
PubchemFP874,875,SC1C(Br)CCC1 
PubchemFP875,876,NC1C(N)CCC1 
PubchemFP876,877,NC1C(Cl)CC1 
PubchemFP877,878,NC1C(Br)CCC1 
PubchemFP878,879,ClC1C(Cl)CCC1 
PubchemFP879,880,ClC1C(Br)CCC1 
PubchemFP880,881,BrC1C(Br)CCC1
