model,random_state,accuracy,sensitivity,specificity,balanced_accuracy,f1,PubchemFP646_gini/coefs,PubchemFP758_gini/coefs,PubchemFP580_gini/coefs,PubchemFP504_gini/coefs,PubchemFP385_gini/coefs,PubchemFP697_gini/coefs,PubchemFP528_gini/coefs,PubchemFP499_gini/coefs,PubchemFP391_gini/coefs,PubchemFP338_gini/coefs,PubchemFP405_gini/coefs,PubchemFP399_gini/coefs,PubchemFP647_gini/coefs,PubchemFP23_gini/coefs,PubchemFP716_gini/coefs,PubchemFP186_gini/coefs,PubchemFP439_gini/coefs,PubchemFP150_gini/coefs,PubchemFP621_gini/coefs,PubchemFP812_gini/coefs,PubchemFP712_gini/coefs,PubchemFP3_gini/coefs,PubchemFP673_gini/coefs,PubchemFP261_gini/coefs,PubchemFP386_gini/coefs,PubchemFP378_gini/coefs,PubchemFP689_gini/coefs,PubchemFP374_gini/coefs,PubchemFP363_gini/coefs,PubchemFP152_gini/coefs,PubchemFP308_gini/coefs,PubchemFP611_gini/coefs,PubchemFP494_gini/coefs,PubchemFP527_gini/coefs,PubchemFP258_gini/coefs
11,693,0.8791208791208791,0.6590909090909091,0.9492753623188406,0.8041831357048748,0.7250000000000001,0.04457732774343414,0.02632047124011826,0.026108940859075083,0.031208510286952696,0.024591623429503374,0.03164206971477087,0.034747733760007546,0.025745411866885053,0.03793368823140244,0.04229877707933464,0.03122437199247713,0.02347959783147637,0.022768300360597744,0.03244898547086841,0.024698632455897974,0.037402627251232716,0.03432463487582305,0.02916412042923401,0.029537774143042785,0.021900266068157155,0.030564800350693366,0.022848825009507977,0.027590021378561053,0.027548469592323908,0.026183765543707847,0.038629638597052374,0.02685250769559616,0.026515830562751436,0.02668100085662263,0.026302548287606847,0.02316117034362692,0.023036020482012278,0.01665191025248077,0.02050247442928737,0.024807151527877765
12,759,0.8736263736263736,0.5625,0.94,0.75125,0.6101694915254238,0.038933799594740734,0.03163292768431512,0.02544367395198824,0.028294058212332298,0.030907740999773888,0.030082760775332566,0.035294863122374565,0.02676222643112967,0.036584329935316996,0.037750888409328005,0.031148007989460037,0.023736177578431245,0.022569581597901348,0.027790157116619457,0.025943793520485814,0.030722430218412103,0.04575084117128617,0.026662002499988388,0.03278040025180672,0.02257395049780762,0.0301439690291052,0.030667927286617956,0.027621464223971288,0.027354924112598423,0.02630049800558955,0.028198029581957225,0.027144940910781578,0.028219067159639774,0.015723566341228026,0.02521807097452542,0.024473562336755513,0.03316173830428379,0.014608130821627102,0.023237077247407943,0.026562422105080176
13,914,0.8571428571428571,0.7058823529411765,0.8918918918918919,0.7988871224165341,0.6486486486486486,0.038204643606259615,0.02766921178008865,0.030008689353447485,0.026366263113788316,0.02620758971040124,0.03020285717185635,0.028297004253669343,0.025343243614380312,0.032876688568278155,0.046784143392420666,0.04036866683371019,0.024055717992762283,0.01982420974921555,0.03392661207671915,0.028004458474689842,0.03863882361530667,0.03561036338432299,0.027779113111090457,0.030838727314237473,0.02510592617751497,0.03052775933897867,0.026044748618424034,0.02847643558919808,0.03053885878168643,0.02352283832416243,0.03385919444721257,0.028342895721238538,0.02826554346627738,0.019984103082037494,0.02354786980649429,0.0265748293709857,0.022919386782064653,0.017803394587799774,0.020455055831600247,0.02302413295768001
14,559,0.8956043956043956,0.75,0.9315068493150684,0.8407534246575342,0.7397260273972601,0.03831661938928474,0.03491140423919441,0.032959574115574125,0.02689478123757181,0.02549411464043395,0.026404884700225176,0.037328973117415044,0.027671511522867044,0.03888761861040339,0.03564207126764067,0.042534688533409235,0.021076403724279748,0.019183439496561035,0.029509373273985704,0.022346428600792074,0.03391933837594988,0.032759481397299305,0.02373229270705104,0.030045734644646493,0.021256675062548403,0.030925460206691346,0.030397556635342642,0.03020141422194573,0.0290833811771948,0.02583088387641485,0.03255363422588759,0.026405989223238,0.027966039345589288,0.025131525608898645,0.02329272148569634,0.022729263129182234,0.02693537201884522,0.019547350863259497,0.023563430927839742,0.02456056839684074
15,90,0.8571428571428571,0.675,0.9084507042253521,0.7917253521126761,0.675,0.04008817124676134,0.032467560007868664,0.029757741587486158,0.026124598980205777,0.03254805307421814,0.030366261641769008,0.02981762647648217,0.027815481335096467,0.03201023098185151,0.03427496374179186,0.031500685522260846,0.024349834048681566,0.022198085603313558,0.033296359047640556,0.021334145750538814,0.03252016765052046,0.04243879560550295,0.03154681065597355,0.035737966165908394,0.025860257271092535,0.02989054819046478,0.01715376228149572,0.029010507298139355,0.027130260861184474,0.025833019270576043,0.02800694250639509,0.02760703960931804,0.025391416066682018,0.02082207377207007,0.027300622914868306,0.0273591904932675,0.030771882159611366,0.02327464037409349,0.02009045005688076,0.02430384774998881
16,605,0.8626373626373627,0.7317073170731707,0.900709219858156,0.8162082684656633,0.7058823529411764,0.03795238869431216,0.031738663997727755,0.02501590441762831,0.029080017783851605,0.024940150524882406,0.02907373213486568,0.03220298286535309,0.026976397002413135,0.03278689062729293,0.028757183108411653,0.038310752961769105,0.02216320840410346,0.019852715689643384,0.032029062415002515,0.024072795955178684,0.03248112316137036,0.0349822181661497,0.023762087525451604,0.03693820932280898,0.016601808994018568,0.0367073584737965,0.038092845894334065,0.02845032913147429,0.02928149466394904,0.028049281511963425,0.0342363272060727,0.02491458897658395,0.028954926069654895,0.023752240714658458,0.02123411506083319,0.024831467481273285,0.030451008762623716,0.02016881724214356,0.023182184825692332,0.02797472023271149
17,433,0.9065934065934066,0.8285714285714286,0.9251700680272109,0.8768707482993198,0.7733333333333333,0.04160032852163689,0.027184684635406485,0.026922886751710985,0.028710302807104352,0.027202098344015067,0.029399613893615482,0.034557956745350095,0.027384028970998515,0.03761622087151811,0.037996350193911434,0.03563393278137963,0.021242154509682074,0.021718821489764548,0.03160185220995645,0.023746585638740093,0.03637728544800238,0.03699597775819016,0.022937435527818194,0.03758360637804714,0.019714058515003283,0.03142133136186973,0.026785412013118796,0.030934416132676015,0.031263172276765464,0.028134501944274325,0.029312335097485667,0.02586162078157128,0.02936603904132078,0.02391113158783991,0.022784515591680394,0.02086347202075262,0.024560447144285732,0.016085562658029837,0.024171014318367705,0.02841884603811042
18,33,0.8736263736263736,0.717948717948718,0.916083916083916,0.8170163170163169,0.708860759493671,0.040525976621255046,0.028330492796215665,0.03136007890553613,0.02457628138941342,0.024459822663261542,0.030717918366925938,0.0344253078106833,0.027783940527385365,0.045445099747101175,0.0435066832298366,0.035813170222867556,0.02274122933508684,0.02158187537939305,0.02790584213011566,0.028851012250448827,0.032494605858744474,0.03182697984689933,0.025139843608094504,0.03210982473675318,0.022766440715639307,0.029632664100669216,0.029524879023969004,0.02752112562133079,0.025904983742386117,0.026801089387951227,0.028810002829234866,0.03220713621977395,0.028321158975792064,0.018534888470986804,0.022929929171334257,0.023363425954014187,0.026111857040538804,0.017070880701302367,0.022420927965132443,0.028482624653927147
19,31,0.8901098901098901,0.8421052631578947,0.9027777777777778,0.8724415204678362,0.761904761904762,0.036082654615453714,0.031032479980320996,0.027422217388848064,0.028106963428060572,0.026974115595221393,0.035393178381902986,0.027988065178234427,0.025692875635562558,0.03314793952482589,0.03468274581950547,0.03726612418962792,0.021348808076039553,0.023259582281687927,0.034292701509660094,0.026445884766465866,0.03361547001595967,0.0327844462560275,0.02336793781646299,0.030523949108182118,0.021641055005352662,0.029989956522244832,0.040170171184641494,0.029936841065173487,0.029910486674637107,0.028128957359337122,0.03111295783148069,0.026246192044316365,0.02985131592932181,0.01754536024978681,0.024444948413154977,0.023693303150359703,0.027188176974467092,0.019770401377951063,0.0224635113084321,0.028478225341293097
20,96,0.8626373626373627,0.7575757575757576,0.8859060402684564,0.821740898922107,0.6666666666666667,0.043093037769319664,0.029205637541202648,0.029897206841663918,0.03182724533962012,0.02674984820243325,0.026100284561092823,0.03404526911074356,0.027154042881765997,0.036544988335641015,0.03442948484036928,0.030243557704661198,0.024892758188012253,0.02667268546428267,0.03071964431773661,0.02766548052661501,0.035420883258104906,0.03806411409572386,0.02337033120315973,0.02979381276027054,0.023332430851851434,0.03366392809907858,0.029118334250471146,0.024351149677121705,0.03322858574349761,0.023594842585287233,0.029635249080713653,0.03120398401107544,0.02512707745434301,0.01794070640922368,0.024768768916231174,0.02561994172427527,0.025556726027892857,0.01640056370725438,0.020860631267515747,0.029706767251748038
