model,random_state,accuracy,sensitivity,specificity,balanced_accuracy
76,907,0.8516483516483516,0.5365853658536586,0.9432624113475178,0.7399238886005881
87,297,0.8516483516483516,0.5,0.9637681159420289,0.7318840579710144
26,575,0.8461538461538461,0.4772727272727273,0.9637681159420289,0.7205204216073782
91,888,0.8461538461538461,0.5454545454545454,0.9420289855072463,0.7437417654808959
21,224,0.8461538461538461,0.47619047619047616,0.9571428571428572,0.7166666666666667
92,104,0.8406593406593407,0.46875,0.92,0.694375
5,282,0.8406593406593407,0.37209302325581395,0.9856115107913669,0.6788522670235904
67,997,0.8406593406593407,0.5581395348837209,0.9280575539568345,0.7430985444202778
61,827,0.8406593406593407,0.45454545454545453,0.9637681159420289,0.7091567852437417
10,105,0.8351648351648352,0.5,0.9485294117647058,0.7242647058823529
52,105,0.8351648351648352,0.5,0.9485294117647058,0.7242647058823529
59,619,0.8351648351648352,0.425531914893617,0.9777777777777777,0.7016548463356974
82,72,0.8076923076923077,0.3409090909090909,0.9565217391304348,0.6487154150197628
7,229,0.7967032967032966,0.4,0.946969696969697,0.6734848484848486
