molecule_chembl_id,canonical_smiles,classification
CHEMBL4568120,C=CCOC(=O)c1cc(-c2ccc(/C=C3/NC(=S)NC3=O)o2)ccc1Cl,0
CHEMBL4472294,C[C@@H](c1ccccc1)n1nnc2cnc3ccc(-c4cnc5[nH]ccc5c4)cc3c21,0
CHEMBL4515441,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2)ncc1C(=O)Nc1c(C)cccc1Cl,0
CHEMBL4436895,O=C(Nc1cccnc1)c1cc(C(=O)c2c(F)cccc2Br)c[nH]1,0
CHEMBL4528675,COc1ccc(N2C(=O)COc3ccc(-c4cnc(OC)c(NS(=O)(=O)c5ccc(F)cc5)c4)cc32)cc1,0
CHEMBL4548580,CN(C)C(=O)c1cc2cnc(Nc3ccc(NC(=O)CCCCCCCN=C=S)cc3)nc2n1C1CCCC1,1
CHEMBL4459587,C=CS(=O)(=O)Nc1ccc(Cc2ccc3ccccc3c2)cc1,0
CHEMBL4438748,CN(C)c1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,0
CHEMBL4473365,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C,1
CHEMBL4555459,O=C(Nc1cccc([C@H]2CCCN(c3ncnc4[nH]ccc34)C2)c1)Nc1ccccc1N1CCCC1,0
CHEMBL4564973,O=C(Nc1cccc([C@@H]2CN(c3ncnc4[nH]ccc34)CCN2CCO)c1)Nc1c(F)cccc1N1CCCC1,1
CHEMBL4559936,O=C(Nc1cc(-c2cn(CCNc3c4c(nc5ccccc35)CCCC4)nn2)ccn1)Nc1cccc2c1C1CCCCN1C2=O,1
CHEMBL4455923,CC[C@H](Nc1nc(N)nc(C)c1C#N)c1nc2cccc(NCc3ccc(C(=O)NO)cc3)c2c(=O)n1-c1ccccc1,0
CHEMBL4640297,Cc1ccc(C(=O)Nc2ccc(CN3CCC4C=NNC4C3)c(Cl)c2)cc1C#Cc1cnc2cccnn12,1
CHEMBL4640297,Cc1ccc(C(=O)Nc2ccc(CN3CCC4C=NNC4C3)c(Cl)c2)cc1C#Cc1cnc2cccnn12,0
CHEMBL4638981,Cc1ccc(C(=O)Nc2ccc(CN3Cc4cn[nH]c4C3)c(Cl)c2)cc1C#Cc1cnc2cccnn12,1
CHEMBL255863,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,0
CHEMBL1171837,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,1
CHEMBL4445670,CN1CCN(c2cnc3c(C4CCN(C(=O)c5ccc(OC(F)(F)F)cc5N)CC4)ncnc3c2)CC1,0
CHEMBL4580220,CCc1ccccc1C(=O)Nc1n[nH]c2c(C)c(F)c(C3C(C#N)=C(C)N(C)C(C)=C3C#N)cc12,0
CHEMBL2216825,C[C@H]1O[C@@H]2CC(=O)O[C@@H]2C2=C1C(=O)c1c(ccc([C@H]3C[C@@H](N(C)C)[C@H](O)[C@@H](C)O3)c1O)C2=O,0
CHEMBL521179,CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1,0
CHEMBL86755,O=C1Nc2ccccc2/C1=C/c1ccc[nH]1,1
CHEMBL249097,Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1,1
CHEMBL450519,Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCNCC1,1
CHEMBL457871,C[C@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,1
CHEMBL282342,CN(C)c1ccc(-c2cc3ncccc3c(NCCCCN)n2)cc1,1
CHEMBL459977,C[C@@H]1CCN(C(=O)CC#N)C[C@H]1N(C)c1ncnc2[nH]ccc12,1
CHEMBL92361,O=C(O)Cc1c2ccccc2n2c1[nH]c(=O)c1ccccc12,0
CHEMBL28,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0
CHEMBL289277,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,0
CHEMBL3215582,Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1Nc1ncccc1-c1ncnc2[nH]cnc12,0
CHEMBL1165499,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1,0
CHEMBL1164180,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1,0
CHEMBL1164181,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1,0
CHEMBL1164265,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(F)ccc(F)c3Cl)CCN4)cn2)CC1,1
CHEMBL1163510,O=C(O)c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1,0
CHEMBL1163518,O=C(c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1)N1CCCCC1,0
CHEMBL1163567,COC1CCN(C(=O)c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cc2)CC1,0
CHEMBL1163559,O=C(c1ccc(-c2cnc3c(c2)N(Cc2cc(Cl)ccc2C(F)(F)F)CCN3)cc1)N1CCC(N2CCCC2)CC1,1
CHEMBL1163566,FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21,1
CHEMBL1163565,CC(=O)N1CCN(c2cc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)ccn2)CC1,0
CHEMBL1171523,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cccnc4)c3)cc2C(F)(F)F)CC1,0
CHEMBL1170139,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5[nH]ccc5c4)c3)cc2C(F)(F)F)CC1,0
CHEMBL1215218,CCOC(=O)CCc1c(/C=C2\C(=O)Nc3ccc(NS(=O)(=O)c4ccccc4)cc32)[nH]c2c1C(=O)CCC2,0
CHEMBL1215346,CN(C)CCCc1c(/C=C2\C(=O)Nc3ccc(NS(=O)(=O)c4ccccc4)cc32)[nH]c2c1C(=O)CCC2,0
CHEMBL1241578,CC(C)n1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21,0
CHEMBL1081312,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,0
CHEMBL1233882,CC(C)n1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21,0
CHEMBL1233881,COc1ccc(-c2nn(C3CCC3)c3ncnc(N)c23)cc1OC,0
CHEMBL1241674,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,0
CHEMBL1230790,CC(C)n1nc(-c2cccc(O)c2)c2c(N)ncnc21,0
CHEMBL1234815,Cn1nc(-c2ccc3ccccc3c2)c2c(N)ncnc21,0
CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,1
CHEMBL379300,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12,1
CHEMBL1254209,COc1ccccc1N1CCN(c2ncnc3[nH]nc(Br)c23)CC1,0
CHEMBL577784,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1,1
CHEMBL1822054,CC(=O)Nc1cn2nc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)ccc2n1,1
CHEMBL1834114,Nc1c(F)c(NCCCc2ccccc2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1,0
CHEMBL1834318,Nc1c(F)c(NCCNc2ccccn2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CCCC1,0
CHEMBL1834323,C[C@H]1COc2c(NCCNc3ccccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23,0
CHEMBL1834324,CC(C)[C@@H]1COc2c(NCCNc3ccccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23,0
CHEMBL1834330,Nc1c(F)c(NCCNc2ccccn2)c2c3c1c(=O)c(C(=O)O)cn3C1(CCCC1)CO2,0
CHEMBL1940980,C[C@H]1COc2c(NCCCn3cccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23,0
CHEMBL1940981,C[C@H]1COc2c(NCCCn3cccn3)c(F)c(N)c3c(=O)c(C#N)cn1c23,0
CHEMBL1940987,C[C@H]1COc2c(NCCCc3ccccn3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23,0
CHEMBL1940990,C[C@H]1COc2c(NCCCc3ccccn3)c(F)c(N)c3c(=O)c(C#N)cn1c23,0
CHEMBL1956070,CN1CCN(c2ccc(Nc3nc(N)c(C(=O)c4ccc5c(c4)OCCO5)s3)cc2)CC1,0
CHEMBL2152768,CC(C)(O)C1CCN(Cc2ccc3nc(-c4c(F)ccc5[nH]ccc45)nc(N4CCOCC4)c3n2)CC1,0
CHEMBL2171124,Cn1cc(-c2ccc3c(c2)CCN3C(=O)Cc2cccc(C(F)(F)F)c2)c2c(N)ncnc21,1
CHEMBL2204495,O=C(Nc1cccnc1)c1cc(-c2ccnc(F)c2)ccc1OCc1ccccc1,0
CHEMBL2205766,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,0
CHEMBL2348865,O=c1[nH]c2ncc(-c3ccc(-c4nc[nH]n4)cc3)nc2n1CCC1CCOCC1,0
CHEMBL2348862,CC(C)(O)c1ccc(-c2cnc3c(n2)N(CC2CCOCC2)CC(=O)N3)cn1,0
CHEMBL2402081,CC[C@@H]1C(=O)N(C)c2cnc(-n3ccnc3-c3ccc(F)cc3)nc2N1c1ccn(C)n1,0
CHEMBL2408616,Nc1ncc(-c2cnn([C@H]3CC[C@H](O)CC3)c2)c2c(C(F)F)c(-c3cccc4nnsc34)oc12,0
CHEMBL2425646,O[C@H]1CC[C@H](Nc2nccc(-n3ccc4ccccc43)n2)CC1,0
CHEMBL2425644,O[C@H]1CC[C@H](Nc2nccc(-c3n[nH]c4ccccc34)n2)CC1,1
CHEMBL2425645,O[C@H]1CC[C@H](Nc2nccc(-n3ncc4ccccc43)n2)CC1,0
CHEMBL2425649,O=C([C@H]1CC[C@H](Nc2nccc(-n3nnc4ccccc43)n2)CC1)N1CCOCC1,0
CHEMBL2425652,N[C@H]1CC[C@H](Nc2nccc(-n3nnc4ccccc43)n2)CC1,0
CHEMBL2425654,O[C@H]1CC[C@H](Nc2nccc(-n3nnc4ccccc43)n2)CC1,0
CHEMBL3128041,COCCNc1nc2ccc(C#CC(C)(C)O)cc2n1-c1ccnc(N)n1,1
CHEMBL3128042,COCCNc1nc2ccc(C#CC3(O)CCCCC3)cc2n1-c1ccnc(N)n1,0
CHEMBL3128050,Cc1nc2ccc(C#CC3(O)CCCCC3)cc2n1-c1ncnc(N)n1,0
CHEMBL3128044,Cc1nc2ccc(C#CC(C)(C)O)cc2n1-c1ncnc(N)n1,1
CHEMBL3355482,CN(Cc1ccccc1)C(=O)c1ccc(S(=O)(=O)Nc2ccccc2)cc1,0
CHEMBL3298678,O=C(N[C@H](CO)c1ccc(Cl)c(F)c1)N1CCc2cnc(NC3CCOCC3)nc2C1,0
CHEMBL3298512,C=CC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,0
CHEMBL3338802,Cc1ccc(-c2cc(C(=O)Nc3ccnc(Cl)c3)nn2-c2ccc3ccccc3n2)cc1,0
CHEMBL3326761,CS(=O)(=O)c1ccc(-c2cc3c(Nc4ccncc4)ncnn3c2)cc1,1
CHEMBL3326802,CC(C)(O)Cn1cc(-c2ccc(-c3cc4c(Nc5ccncc5)ncnn4c3)cc2)cn1,1
CHEMBL3577124,CNc1ncc2cc(-c3cc(NC(=O)NCCC(C)(C)C)c(F)cc3C)c(C)nc2n1,1
CHEMBL3594181,C[C@H]1CN(C)C(=O)[C@@H]1c1cc(Nc2ccnc(N(C)C[C@H]3CC[C@H](N)CC3)n2)n[nH]1,0
CHEMBL166031,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccncc3)cc2)no1,1
