,rank,fingerprint
PubchemFP645,45,O=C-N-C-C 
PubchemFP749,46,Nc1cc(N)ccc1 
PubchemFP614,47,C-C-O-C-C 
PubchemFP213,48,>= 1 any ring size 7 
PubchemFP821,49,CC1C(N)CCCC1 
PubchemFP438,50,C(-C)(-N)(=N) 
PubchemFP566,51,O-C-C-N 
PubchemFP569,52,N-C-C-N 
PubchemFP477,53,N-N-C:C 
PubchemFP692,54,O=C-C-C-C-C-C 
PubchemFP488,55,N-C=N-[#1]
PubchemFP734,56,Cc1cc(C)ccc1 
PubchemFP366,57,C(~H)(~O) 
PubchemFP199,58,>= 4 any ring size 6 
PubchemFP188,59,>= 2 saturated or aromatic heteroatom-containing ring size 6 
PubchemFP372,60,C(~H)(:C)(:N) 
PubchemFP695,61,O=C-C-C-C-C-N 
PubchemFP153,62,>= 2 saturated or aromatic heteroatom-containing ring size 5 
PubchemFP624,63,O=C-C:C-N 
PubchemFP287,64,C-F 
PubchemFP547,65,N-C:C-N 
PubchemFP696,66,C-C-C-C-C-C-C-C 
PubchemFP682,67,O-C-C-C-C-N 
PubchemFP643,68,[#1]-C-C-N-[#1] 
PubchemFP389,69,C(:N)(:N) 
PubchemFP216,70,>= 1 saturated or aromatic heteroatom-containing ring size 7 
PubchemFP577,71,C:C-N-C:C 
PubchemFP451,72,C(-N)(=O) 
PubchemFP779,73,CC1CCC(N)CC1 
PubchemFP143,74,>= 1 any ring size 5 
PubchemFP192,75,>= 3 any ring size 6 
PubchemFP24,76,>= 2 F 
PubchemFP388,77,C(:C)(:N)(:N) 
PubchemFP597,78,O=C-C-C:C 
PubchemFP406,79,O(~C)(~H) 
PubchemFP293,80,C-S 
PubchemFP496,81,N:N-C-[#1] 
PubchemFP737,82,Cc1cc(N)ccc1 
PubchemFP431,83,C(-C)(-C)(=N) 
PubchemFP641,84,O-C-C-C=C 
PubchemFP572,85,N:C:N:C 
PubchemFP521,86,C:N-C-[#1] 
PubchemFP419,87,C#N 
