,rank,fingerprint
PubchemFP134,614,>= 1 unsaturated non-aromatic nitrogen-containing ring size 4 
PubchemFP83,615,>= 1 Xe 
PubchemFP124,616,>= 2 saturated or aromatic nitrogen-containing ring size 3 
PubchemFP355,617,C(~C)(:C) 
PubchemFP74,618,>= 1 Ru 
PubchemFP176,619,>= 5 unsaturated non-aromatic nitrogen-containing ring size 5 
PubchemFP91,620,>= 1 Os 
PubchemFP320,621,Si-H
PubchemFP117,622,>= 1 saturated or aromatic nitrogen-containing ring size 3 
PubchemFP107,623,>= 1 Tb 
PubchemFP85,624,>= 1 Ba 
PubchemFP718,625,Cc1ccc(Br)cc1 
PubchemFP120,626,>= 1 unsaturated non-aromatic nitrogen-containing ring size 3 
PubchemFP80,627,>= 1 Sn 
PubchemFP753,628,Clc1cc(Br)ccc1 
PubchemFP93,629,>= 1 Pt 
PubchemFP113,630,>= 1 Tc 
PubchemFP783,631,OC1CCC(S)CC1 
PubchemFP164,632,>= 4 any ring size 5 
PubchemFP129,633,>= 1 any ring size 4 
PubchemFP552,634,C:C-C:C 
PubchemFP151,635,>= 2 saturated or aromatic carbon-only ring size 5 
PubchemFP529,636,Cl-C-C-Cl 
PubchemFP119,637,>= 1 unsaturated non-aromatic carbon-only ring size 3 
PubchemFP843,638,CC1CC(Cl)CC1 
PubchemFP73,639,>= 1 Mo 
PubchemFP315,640,O-K 
PubchemFP510,641,[#1]-N-N-[#1] 
PubchemFP351,642,C(~C)(~N) 
PubchemFP158,643,>= 3 saturated or aromatic carbon-only ring size 5 
PubchemFP384,644,C(:C)(:C) 
PubchemFP732,645,Clc1ccc(Br)cc1 
PubchemFP118,646,>= 1 saturated or aromatic heteroatom-containing ring size 3 
PubchemFP154,647,>= 2 unsaturated non-aromatic carbon-only ring size 5 
PubchemFP844,648,CC1CC(Br)CC1 
PubchemFP161,649,>= 3 unsaturated non-aromatic carbon-only ring size 5 
PubchemFP114,650,>= 1 U
PubchemFP526,651,Cl-C:C-Cl 
PubchemFP111,652,>= 1 Tm 
PubchemFP841,653,CC1CC(S)CC1 
PubchemFP416,654,C=C 
PubchemFP401,655,N(~O)(~O) 
PubchemFP98,656,>= 1 Bi 
PubchemFP130,657,>= 1 saturated or aromatic carbon-only ring size 4 
PubchemFP200,658,>= 4 saturated or aromatic carbon-only ring size 6 
PubchemFP126,659,>= 2 unsaturated non-aromatic carbon-only ring size 3 
PubchemFP290,660,C-Al 
PubchemFP103,661,>= 1 Pm 
PubchemFP121,662,>= 1 unsaturated non-aromatic heteroatom-containing ring size 3 
PubchemFP407,663,O(~C)(~P) 
PubchemFP102,664,>= 1 Nd 
PubchemFP839,665,CC1CC(C)CC1 
PubchemFP196,666,>= 3 unsaturated non-aromatic carbon-only ring size 6 
PubchemFP766,667,Sc1c(S)cccc1 
PubchemFP773,668,Clc1c(Cl)cccc1 
PubchemFP238,669,>= 2 unsaturated non-aromatic carbon-only ring size 8 
PubchemFP132,670,>= 1 saturated or aromatic heteroatom-containing ring size 4 
PubchemFP128,671,>= 2 unsaturated non-aromatic heteroatom-containing ring size 3 
PubchemFP100,672,>= 1 Ce 
PubchemFP94,673,>= 1 Au 
PubchemFP512,674,C-[As]-O-[#1] 
PubchemFP745,675,Sc1cc(S)ccc1 
PubchemFP631,676,O-C:C-O-[#1] 
PubchemFP832,677,SC1C(Br)CCCC1 
PubchemFP125,678,>= 2 saturated or aromatic heteroatom-containing ring size 3 
PubchemFP481,679,O-S-C:C 
PubchemFP343,680,C(~C)(~Cl)(~H) 
PubchemFP110,681,>= 1 Er 
PubchemFP248,682,>= 1 any ring size 10 
PubchemFP415,683,Si(~C)(~C) 
PubchemFP282,684,B-Br 
PubchemFP209,685,>= 5 saturated or aromatic heteroatom-containing ring size 6 
PubchemFP189,686,>= 2 unsaturated non-aromatic carbon-only ring size 6 
PubchemFP723,687,Oc1ccc(Br)cc1 
PubchemFP669,688,Cl-C:C-C=O 
PubchemFP479,689,S-C-S-C 
PubchemFP175,690,>= 5 unsaturated non-aromatic carbon-only ring size 5 
PubchemFP173,691,>= 5 saturated or aromatic nitrogen-containing ring size 5 
PubchemFP310,692,O-Mg 
PubchemFP861,693,CC1C(O)CCC1 
PubchemFP402,694,N(~O)(:O) 
PubchemFP849,695,OC1CC(Br)CC1 
PubchemFP135,696,>= 1 unsaturated non-aromatic heteroatom-containing ring size 4 
PubchemFP720,697,Oc1ccc(S)cc1 
PubchemFP322,698,Si-Cl 
PubchemFP166,699,>= 4 saturated or aromatic nitrogen-containing ring size 5 
PubchemFP772,700,Nc1c(Br)cccc1 
PubchemFP280,701,B-S 
PubchemFP836,702,ClC1C(Cl)CCCC1 
PubchemFP168,703,>= 4 unsaturated non-aromatic carbon-only ring size 5 
PubchemFP212,704,>= 5 unsaturated non-aromatic heteroatom-containing ring size 6 
PubchemFP829,705,SC1C(S)CCCC1 
PubchemFP219,706,>= 1 unsaturated non-aromatic heteroatom-containing ring size 7 
PubchemFP163,707,>= 3 unsaturated non-aromatic heteroatom-containing ring size 5 
PubchemFP354,708,C(~C)(~Si) 
PubchemFP127,709,>= 2 unsaturated non-aromatic nitrogen-containing ring size 3 
PubchemFP316,710,F-P 
PubchemFP284,711,C-C 
PubchemFP730,712,Nc1ccc(Br)cc1
PubchemFP782,713,OC1CCC(O)CC1 
PubchemFP177,714,>= 5 unsaturated non-aromatic heteroatom-containing ring size 5 
PubchemFP171,715,>= 5 any ring size 5 
PubchemFP133,716,>= 1 unsaturated non-aromatic carbon-only ring size 4
PubchemFP162,717,>= 3 unsaturated non-aromatic nitrogen-containing ring size 5 
PubchemFP197,718,>= 3 unsaturated non-aromatic nitrogen-containing ring size 6 
PubchemFP155,719,>= 2 unsaturated non-aromatic nitrogen-containing ring size 5 
PubchemFP787,720,SC1CCC(S)CC1 
PubchemFP237,721,>= 2 saturated or aromatic heteroatom-containing ring size 8 
PubchemFP142,722,>= 2 unsaturated non-aromatic heteroatom-containing ring size 4 
PubchemFP226,723,>= 2 unsaturated non-aromatic heteroatom-containing ring size 7 
PubchemFP831,724,SC1C(Cl)CCCC1 
PubchemFP269,725,Li-P 
PubchemFP218,726,>= 1 unsaturated non-aromatic nitrogen-containing ring size 7 
PubchemFP469,727,S-S-C:C 
PubchemFP140,728,>= 2 unsaturated non-aromatic carbon-only ring size 4 
PubchemFP309,729,O-O 
PubchemFP790,730,SC1CCC(Br)CC1 
PubchemFP468,731,O=S-C-N 
PubchemFP254,732,>= 1 unsaturated non-aromatic heteroatom-containing ring size 10 
PubchemFP303,733,N-Si 
PubchemFP687,734,O=C-C-C-C=O 
PubchemFP224,735,>= 2 unsaturated non-aromatic carbon-only ring size 7 
PubchemFP170,736,>= 4 unsaturated non-aromatic heteroatom-containing ring size 5 
PubchemFP182,737,>= 1 unsaturated non-aromatic carbon-only ring size 6 
PubchemFP273,738,B-B 
PubchemFP265,739,Li-B 
PubchemFP296,740,C-Se 
PubchemFP156,741,>= 2 unsaturated non-aromatic heteroatom-containing ring size 5 
PubchemFP332,742,C(~C)(~C) 
PubchemFP233,743,>= 1 unsaturated non-aromatic heteroatom-containing ring size 8 
PubchemFP796,744,BrC1CCC(Br)CC1 
PubchemFP463,745,N:C-S-[#1] 
PubchemFP264,746,Li-Li 
PubchemFP232,747,>= 1 unsaturated non-aromatic nitrogen-containing ring size 8 
PubchemFP786,748,OC1CCC(Br)CC1 
PubchemFP272,749,B-H 
PubchemFP205,750,>= 4 unsaturated non-aromatic heteroatom-containing ring size 6 
PubchemFP724,751,Sc1ccc(S)cc1 
PubchemFP314,752,O-P 
PubchemFP222,753,>= 2 saturated or aromatic nitrogen-containing ring size 7 
PubchemFP249,754,>= 1 saturated or aromatic carbon-only ring size 10 
PubchemFP425,755,P=O 
PubchemFP317,756,F-S 
PubchemFP562,757,Br-C-C=O 
PubchemFP295,758,C-As 
PubchemFP862,759,CC1C(S)CCC1 
PubchemFP165,760,>= 4 saturated or aromatic carbon-only ring size 5 
PubchemFP793,761,NC1CCC(Br)CC1 
PubchemFP321,762,Si-Si 
PubchemFP207,763,>= 5 saturated or aromatic carbon-only ring size 6 
PubchemFP263,764,Li-H 
PubchemFP458,765,S(-O)(=O) 
PubchemFP198,766,>= 3 unsaturated non-aromatic heteroatom-containing ring size 6 
PubchemFP244,767,>= 1 saturated or aromatic heteroatom-containing ring size 9 
PubchemFP243,768,>= 1 saturated or aromatic nitrogen-containing ring size 9 
PubchemFP769,769,Sc1c(Br)cccc1 
PubchemFP241,770,>= 1 any ring size 9 
PubchemFP456,771,P(-O)(=O) 
PubchemFP223,772,>= 2 saturated or aromatic heteroatom-containing ring size 7 
PubchemFP190,773,>= 2 unsaturated non-aromatic nitrogen-containing ring size 6 
PubchemFP789,774,SC1CCC(Cl)CC1 
PubchemFP455,775,N(-O)(=O) 
PubchemFP231,776,>= 1 unsaturated non-aromatic carbon-only ring size 8 
PubchemFP288,777,C-Na 
PubchemFP211,778,>= 5 unsaturated non-aromatic nitrogen-containing ring size 6 
PubchemFP361,779,C(~Cl)(~H) 
PubchemFP795,780,ClC1CCC(Br)CC1 
PubchemFP251,781,>= 1 saturated or aromatic heteroatom-containing ring size 10 
PubchemFP266,782,Li-C 
PubchemFP221,783,>= 2 saturated or aromatic carbon-only ring size 7 
PubchemFP217,784,>= 1 unsaturated non-aromatic carbon-only ring size 7 
PubchemFP762,785,Oc1c(S)cccc1 
PubchemFP281,786,B-Cl 
PubchemFP410,787,P(~C)(~C) 
PubchemFP811,788,SC1CC(Br)CCC1 
PubchemFP236,789,>= 2 saturated or aromatic nitrogen-containing ring size 8 
PubchemFP561,790,Cl-C-C=O 
PubchemFP408,791,O(~H)(~S) 
PubchemFP748,792,Sc1cc(Br)ccc1 
PubchemFP167,793,>= 4 saturated or aromatic heteroatom-containing ring size 5 
PubchemFP313,794,O-Si 
PubchemFP325,795,As-H 
PubchemFP622,796,O=C-O-C:C 
PubchemFP810,797,SC1CC(Cl)CCC1 
PubchemFP228,798,>= 1 saturated or aromatic carbon-only ring size 8 
PubchemFP727,799,Sc1ccc(Br)cc1 
PubchemFP344,800,C(~C)(~H) 
PubchemFP227,801,>= 1 any ring size 8 
PubchemFP253,802,>= 1 unsaturated non-aromatic nitrogen-containing ring size 10 
PubchemFP802,803,CC1CC(Br)CCC1 
PubchemFP250,804,>= 1 saturated or aromatic nitrogen-containing ring size 10 
PubchemFP838,805,BrC1C(Br)CCCC1 
PubchemFP312,806,O-Al 
PubchemFP816,807,ClC1CC(Br)CCC1 
PubchemFP270,808,Li-S 
PubchemFP307,809,N-Br 
PubchemFP808,810,SC1CC(S)CCC1 
PubchemFP210,811,>= 5 unsaturated non-aromatic carbon-only ring size 6 
PubchemFP318,812,Al-H 
PubchemFP204,813,>= 4 unsaturated non-aromatic nitrogen-containing ring size 6 
PubchemFP278,814,B-Si 
PubchemFP319,815,Al-Cl 
PubchemFP817,816,BrC1CC(Br)CCC1 
PubchemFP329,817,C(~Br)(~H) 
PubchemFP306,818,N-Cl 
PubchemFP840,819,CC1CC(O)CC1 
PubchemFP239,820,>= 2 unsaturated non-aromatic nitrogen-containing ring size 8 
PubchemFP304,821,N-P 
PubchemFP247,822,>= 1 unsaturated non-aromatic heteroatom-containing ring size 9 
PubchemFP279,823,B-P 
PubchemFP268,824,Li-F 
PubchemFP444,825,C(-Cl)(=O) 
PubchemFP276,826,B-O 
PubchemFP360,827,C(~Cl)(~Cl)
PubchemFP229,828,>= 1 saturated or aromatic nitrogen-containing ring size 8 
PubchemFP255,829,>= 1 aromatic ring 
PubchemFP245,830,>= 1 unsaturated non-aromatic carbon-only ring size 9 
PubchemFP225,831,>= 2 unsaturated non-aromatic nitrogen-containing ring size 7 
PubchemFP326,832,As-As
PubchemFP274,833,B-C 
PubchemFP837,834,ClC1C(Br)CCCC1 
PubchemFP369,835,C(~H)(~Si) 
PubchemFP242,836,>= 1 saturated or aromatic carbon-only ring size 9 
PubchemFP627,837,O=[As]-C:C:C 
PubchemFP291,838,C-Si 
PubchemFP825,839,OC1C(S)CCCC1 
PubchemFP275,840,B-N 
PubchemFP774,841,Clc1c(Br)cccc1 
PubchemFP289,842,C-Mg 
PubchemFP230,843,>= 1 saturated or aromatic heteroatom-containing ring size 8 
PubchemFP220,844,>= 2 any ring size 7 
PubchemFP302,845,N-F 
PubchemFP235,846,>= 2 saturated or aromatic carbon-only ring size 8 
PubchemFP240,847,>= 2 unsaturated non-aromatic heteroatom-containing ring size 8 
PubchemFP252,848,>= 1 unsaturated non-aromatic carbon-only ring size 10 
PubchemFP234,849,>= 2 any ring size 8 
PubchemFP768,850,Sc1c(Cl)cccc1 
PubchemFP292,851,C-P 
PubchemFP775,852,Brc1c(Br)cccc1 
PubchemFP525,853,[As]-C:C-[#1] 
PubchemFP323,854,P-H 
PubchemFP283,855,C-H 
PubchemFP246,856,>= 1 unsaturated non-aromatic nitrogen-containing ring size 9 
PubchemFP311,857,O-Na 
PubchemFP271,858,Li-Cl 
PubchemFP277,859,B-F 
PubchemFP267,860,Li-O 
PubchemFP864,861,CC1C(Cl)CCC1 
PubchemFP865,862,CC1C(Br)CCC1 
PubchemFP866,863,OC1C(O)CCC1 
PubchemFP433,864,C(-C)(-Cl)(=O) 
PubchemFP867,865,OC1C(S)CCC1 
PubchemFP868,866,OC1C(N)CCC1 
PubchemFP869,867,OC1C(Cl)CCC1 
PubchemFP870,868,OC1C(Br)CCC1 
PubchemFP871,869,SC1C(S)CCC1 
PubchemFP872,870,SC1C(N)CCC1 
PubchemFP873,871,SC1C(Cl)CCC1 
PubchemFP874,872,SC1C(Br)CCC1 
PubchemFP875,873,NC1C(N)CCC1 
PubchemFP876,874,NC1C(Cl)CC1 
PubchemFP877,875,NC1C(Br)CCC1 
PubchemFP878,876,ClC1C(Cl)CCC1 
PubchemFP879,877,ClC1C(Br)CCC1 
PubchemFP880,878,BrC1C(Br)CCC1
PubchemFP441,879,C(-C)(=C) 
PubchemFP1,880,>= 8 H 
PubchemFP0,881,>= 4 H 
